Input Sanskrit Text,Diversity,Repetition Penalty,Diversity Penalty,Length Penalty,Output Text,timestamp
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 21:57:02.172194
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,medium,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 21:57:15.645128
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,high,1.15,0,1,यः शून्य तां प्रजा नाति यि शं रूप स्थं । न चा सौ मार धि निश मतां द् ऽ ज्ज्व षाम् णाम् फलम्,2026-03-02 21:57:29.748920
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,high,1.5,0.5,1,दानवाः ष्म ततः मुने नाति वृद्ध अत्र यो सस्य मृत्य । समी यव केलि वै प्रा उद्य ना संघा ौ ॥ इति ॥ च मे ।। कुर्व ।॥ लः ज ज्ज्वल,2026-03-02 21:57:53.171298
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.5,0.5,1,्यः शून्य तां प्रजा नाति श् शं रूप । । न चा सौभाग्य मार योजन भ भ ह्य ह्य जि ॥ ॥,2026-03-02 21:58:06.063823
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.5,0.5,2,्यः शून्य तां प्रजा नाति श् शं रूप । । न चा सौभाग्य मार योजन भ भ ह्य ह्य जि ॥ ॥,2026-03-02 21:58:20.627441
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.5,0.5,2,्यः शून्य तां प्रजा नाति श् शं रूप । । न चा सौभाग्य मार योजन भ भ ह्य ह्य जि ॥ ॥,2026-03-02 21:58:49.514082
,medium,1.15,0,1,,2026-03-02 22:00:51.705654
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 22:01:09.601861
yaḥ śūnyatāṃ prajānāti īdṛśaṃ rūpalakṣaṇam / na cāsau mārakoṭībhirbhūyaḥ śakya parājitum,low,1.15,0,1,यः शून्य तां प्रजा नाति ईदृ शं रूप वि । न चा सौभाग्य मार योजन भूयः भूयः मान् परा जि तुम्,2026-03-02 22:06:48.981181
